index,x,y,z,
0,0.57022529,0.15123345,0.01158237,
1,0.57022529,0.15123345,0.01158237,
2,0.68346210,0.20948054,0.01525879,
3,0.78388059,0.23661305,0.01649666,
4,0.91624904,0.30049064,0.01803017,
5,1.02084843,0.33845260,0.01840115,
6,1.12875993,0.37751320,0.01712036,
7,1.24122425,0.42951373,0.01441288,
8,1.35465608,0.45771197,0.01179218,
9,1.43895509,0.50015286,0.00901890,
10,1.57524695,0.53857545,0.00597191,
11,1.68656687,0.57522802,0.00513268,
12,1.78387184,0.61548309,0.00606441,
13,1.90063531,0.67265730,0.00754452,
14,2.03169746,0.71265727,0.00788307,
15,2.13914665,0.76276666,0.00727081,
16,2.24265144,0.80053788,0.00657940,
17,2.38013348,0.85326702,0.00624180,
18,2.50834293,0.88213999,0.00626659,
19,2.64789991,0.94064505,0.00664902,
20,2.91637063,1.03938993,0.00622177,
21,2.91637063,1.03938993,0.00622177,
22,3.05507573,1.08980116,0.00513172,
23,3.21927898,1.13699326,0.00449753,
24,3.36490177,1.19775185,0.00406551,
25,3.53527574,1.24642787,0.00429630,
26,3.67945576,1.28517995,0.00643349,
27,3.80296360,1.31938348,0.00842857,
28,3.90748489,1.32956491,0.01075935,
29,4.01679062,1.36133753,0.01131439,
30,4.11453926,1.39600311,0.01247025,
31,4.19724871,1.43055283,0.01398659,
32,4.28197935,1.46074377,0.01515865,
33,4.36907440,1.47669350,0.01936626,
34,4.43694409,1.50465476,0.02329063,
35,4.51102114,1.52442443,0.02498531,
36,4.58784201,1.54824530,0.02478695,
37,4.63827704,1.53091990,0.02237320,
38,4.69671050,1.54836165,0.01835346,
39,4.78373360,1.57211148,0.01458931,
40,4.85507891,1.58222091,0.01272488,
41,4.93014397,1.58751809,0.01623154,
42,5.01557102,1.61903083,0.02422237,
43,5.08070387,1.63448322,0.02992344,
44,5.16297135,1.64696634,0.03526115,
45,5.25261736,1.68381203,0.03554821,
46,5.34320700,1.70731104,0.03175926,
47,5.44888148,1.72001541,0.02653122,
48,5.53504137,1.75280131,0.02168083,
49,5.62498473,1.78225602,0.01301956,
50,5.70148871,1.78472937,0.00527287,
51,5.78119264,1.79465236,0.00046158,
52,5.85936495,1.82062663,-0.00174427,
53,5.97600871,1.83910598,-0.00472260,
54,5.97600871,1.83910598,-0.00472260,
55,6.03332912,1.84167375,-0.00565338,
56,6.07513870,1.84396877,-0.00425339,
57,6.10333904,1.85148563,-0.00028324,
58,6.12009719,1.86235513,0.00414562,
59,6.13738480,1.85851230,0.00836277,
60,6.15417030,1.86261119,0.01069069,
61,6.17099682,1.87979450,0.01062775,
62,6.19321313,1.87680473,0.00928593,
63,6.20932605,1.89264192,0.00812626,
64,6.22877723,1.89341106,0.00558376,
65,6.23694246,1.90217437,0.00390720,
66,6.24439373,1.90997066,0.00260162,
67,6.24070813,1.91362800,0.00104332,
68,6.25741433,1.92054691,0.00060272,
69,6.24910054,1.91300955,-0.00061607,
70,6.24635672,1.91448345,-0.00070953,
71,6.23865830,1.92192020,-0.00062656,
72,6.21946475,1.90836897,-0.00084400,
73,6.19899444,1.89776888,-0.00097942,
74,6.17555637,1.88534202,-0.00217628,
75,6.13915446,1.85979356,-0.00191689,
76,6.10044841,1.84011210,-0.00111485,
77,6.04787428,1.82435216,0.00127506,
78,5.98327324,1.78973426,0.00684071,
79,5.91017886,1.76533068,0.01022243,
80,5.82401632,1.74009312,0.00831032,
81,5.73779050,1.71771706,0.00430202,
82,5.64514971,1.69917667,0.00021648,
83,5.55352095,1.66753471,-0.00321865,
84,5.45575042,1.63439262,-0.00576973,
85,5.35497266,1.59258973,-0.00726223,
86,5.27539640,1.58149373,-0.00789738,
87,5.18434915,1.54570805,-0.00721931,
88,5.09655078,1.51561486,-0.00658607,
89,5.01073379,1.48448072,-0.00492764,
90,4.94766645,1.44292198,-0.00385094,
91,4.88456892,1.42916809,-0.00335503,
92,4.83118755,1.41152559,-0.00246048,
93,4.77757360,1.39043747,-0.00269699,
94,4.73417146,1.36791835,-0.00440311,
95,4.68668613,1.32497392,-0.00622368,
96,4.65709424,1.32068811,-0.00558281,
97,4.62288837,1.30593810,-0.00475311,
98,4.58660838,1.29011426,-0.00337601,
99,4.55075623,1.27510962,-0.00206757,
100,4.50069018,1.25907788,0.00074768,
101,4.44607604,1.25722203,0.00497150,
102,4.39664190,1.25468144,0.00670052,
103,4.34719013,1.23985085,0.00616455,
104,4.28520209,1.22154078,0.00436306,
105,4.22696569,1.18988976,0.00257492,
106,4.18072565,1.17498383,0.00113964,
107,4.06695289,1.15583118,0.00089550,
108,4.06695289,1.15583118,0.00089550,
109,4.01244748,1.14150509,0.00366974,
110,3.95030769,1.10128816,0.00650311,
111,3.89520278,1.09975179,0.00743294,
112,3.83350191,1.07354386,0.00741577,
113,3.75493747,1.05118163,0.00788784,
114,3.67903855,1.03430779,0.00799084,
115,3.61400613,1.01793416,0.00790691,
116,3.56158699,1.02262624,0.00789547,
117,3.48908111,1.00348170,0.00873089,
118,3.41885500,0.98072035,0.00850296,
119,3.34743202,0.95579130,0.00856590,
120,3.28629416,0.95367653,0.00812912,
121,3.21723819,0.93645079,0.00893974,
122,3.12852726,0.91730196,0.01102257,
