index,x,y,z,
1,-1.96201044,-6.30991465,12.68102169,
2,-1.95338398,-6.31337625,12.67987061,
3,-1.94354826,-6.31071347,12.67525959,
4,-1.93813806,-6.31984442,12.67458153,
5,-1.94491296,-6.31381470,12.67750168,
6,-1.94899326,-6.33544910,12.68101215,
7,-1.94415670,-6.32836228,12.68255234,
8,-1.94220214,-6.31921327,12.68532658,
9,-1.92036490,-6.31620204,12.68857956,
10,-1.87886766,-6.30880999,12.68759155,
11,-1.82852175,-6.27751588,12.68656731,
12,-1.74798346,-6.26805895,12.68866158,
13,-1.65863227,-6.24143164,12.69504070,
14,-1.55607315,-6.20656185,12.69748592,
15,-1.43974823,-6.17312150,12.69703579,
16,-1.32237379,-6.14513908,12.69521618,
17,-1.20671835,-6.12646739,12.69394398,
18,-1.07832562,-6.09040115,12.69226265,
19,-0.92273649,-6.05586610,12.69225216,
20,-0.79424984,-6.03537825,12.69290066,
21,-0.63791828,-6.00954661,12.68974972,
22,-0.47544267,-5.98055479,12.68716145,
23,-0.29770969,-5.98203793,12.68282223,
24,-0.13323089,-5.94688380,12.68249798,
25,0.03996735,-5.92153027,12.68358421,
26,0.21833165,-5.89449396,12.68494701,
27,0.40388332,-5.87789919,12.68623066,
28,0.52757108,-5.86835276,12.68666077,
29,0.61469305,-5.86149915,12.68362045,
30,0.72898760,-5.85735234,12.67999744,
31,0.82173626,-5.85984212,12.67665863,
32,0.90615028,-5.86187618,12.67211151,
33,0.95565552,-5.87196168,12.66610909,
34,1.02443119,-5.88648536,12.66700554,
35,1.09411142,-5.88343051,12.67193794,
36,1.16289853,-5.88785222,12.67876244,
37,1.23181677,-5.88372567,12.68520641,
38,1.30152489,-5.88910734,12.68915939,
39,1.36315110,-5.88857626,12.69117260,
40,1.41931394,-5.87365972,12.69369316,
41,1.50266365,-5.87453722,12.69695854,
42,1.64442330,-5.85602235,12.70074463,
43,1.64442330,-5.85602235,12.70074463,
44,1.71643763,-5.83600520,12.70382404,
45,1.81280238,-5.82650369,12.70776081,
46,1.89767392,-5.82179128,12.70970345,
47,1.98473152,-5.81285476,12.70776558,
48,2.10035811,-5.80044620,12.70215416,
49,2.19951257,-5.78032668,12.69409275,
50,2.30274353,-5.76013030,12.68758678,
51,2.40279827,-5.73465906,12.68450451,
52,2.49113785,-5.73811911,12.68738365,
53,2.56111681,-5.74225239,12.69616222,
54,2.65891181,-5.69924584,12.70176411,
55,2.75482880,-5.69094957,12.70096111,
56,2.84144651,-5.67951133,12.69615078,
57,2.94557655,-5.67050410,12.69134140,
58,3.05931890,-5.65550969,12.68584061,
59,3.18472873,-5.61812515,12.68146992,
60,3.33044041,-5.60478965,12.68263721,
61,3.46245872,-5.57831583,12.68713570,
62,3.60930393,-5.54575888,12.69137764,
63,3.76231752,-5.53612499,12.69584179,
64,3.90396222,-5.49895858,12.69937515,
65,4.04606958,-5.47137360,12.69599915,
66,4.17930990,-5.43424508,12.68950367,
67,4.29737673,-5.40462915,12.68369198,
68,4.40563877,-5.38023864,12.67624664,
69,4.53038379,-5.37781351,12.66847420,
70,4.62300755,-5.36029375,12.66348553,
71,4.69655937,-5.34192582,12.66137314,
72,4.73832904,-5.32645476,12.66157150,
73,4.77910909,-5.31134464,12.66406536,
74,4.81597530,-5.29655169,12.66886520,
75,4.83478472,-5.28200683,12.67770481,
76,4.84744711,-5.28654350,12.68566227,
77,4.85976856,-5.27151078,12.69142818,
78,4.86799087,-5.26652008,12.69457150,
79,4.87726536,-5.27529666,12.69444084,
80,4.88455301,-5.27465550,12.69297886,
81,4.89090332,-5.27153217,12.69191456,
82,4.89798232,-5.26294701,12.69323635,
83,4.91819642,-5.25440102,12.69663048,
84,4.92851566,-5.23105050,12.69934940,
85,4.93412794,-5.21295268,12.70180511,
86,4.95026243,-5.19599604,12.70154858,
87,4.97388325,-5.16974173,12.70246124,
88,4.99197561,-5.15270895,12.70369720,
89,5.01468760,-5.13382200,12.70545578,
90,5.05107552,-5.10618120,12.70973587,
91,5.09627280,-5.08349585,12.71450996,
92,5.15852472,-5.06257526,12.71284676,
93,5.22318716,-5.02651077,12.70872211,
94,5.28771711,-5.00191884,12.70623875,
95,5.38508852,-4.98086120,12.70443916,
96,5.47761280,-4.94155191,12.70389748,
97,5.57008407,-4.89100901,12.70656013,
98,5.65234550,-4.86544592,12.70858288,
99,5.74492593,-4.83251751,12.70891380,
100,5.85420363,-4.78561321,12.70834446,
101,5.96576736,-4.75801760,12.70714569,
102,6.06763158,-4.71889406,12.70608521,
103,6.15370200,-4.68756955,12.70643997,
104,6.25834843,-4.66996866,12.70785141,
105,6.35459213,-4.64804732,12.70967484,
106,6.46723562,-4.61769777,12.71164608,
107,6.56175020,-4.59514897,12.71582794,
108,6.67557978,-4.57414405,12.72246742,
109,6.77211922,-4.53844760,12.72727203,
110,6.86564300,-4.52447705,12.73187160,
111,6.94527813,-4.52004431,12.73331738,
112,7.01293738,-4.51324348,12.73335552,
113,7.06208402,-4.50654505,12.73157406,
114,7.08895058,-4.51259766,12.72814083,
115,7.10998388,-4.52081214,12.72373581,
116,7.12291680,-4.54086481,12.71981239,
117,7.12910067,-4.54489182,12.71595287,
118,7.14353287,-4.55347656,12.71295261,
119,7.15450005,-4.58340078,12.71308136,
120,7.16935188,-4.59812509,12.71455765,
121,7.16498919,-4.60747485,12.71712399,
122,7.17269228,-4.62148523,12.71920872,
123,7.18117249,-4.63806915,12.71823120,
124,7.17581570,-4.63810735,12.71455002,
125,7.17444984,-4.66158103,12.71006870,
126,7.17925398,-4.66794067,12.70692921,
127,7.17964760,-4.66173428,12.70580769,
128,7.18121844,-4.67350232,12.70724773,
129,7.17943008,-4.68668967,12.70692635,
130,7.17483100,-4.69501245,12.70505428,
131,7.18342146,-4.69754976,12.70774937,
132,7.17461861,-4.72255534,12.71124077,
133,7.15758502,-4.71387678,12.71503925,
134,7.13951102,-4.73605260,12.71708012,
135,7.11314084,-4.72637266,12.72058201,
136,7.09089521,-4.73778597,12.72415447,
137,7.05099588,-4.75157410,12.72502995,
138,7.00724596,-4.76051000,12.72121239,
139,6.94380027,-4.75775186,12.71444893,
140,6.88281521,-4.77407405,12.70970249,
141,6.82358770,-4.78591547,12.70502663,
142,6.74534047,-4.79941214,12.70284462,
143,6.67460813,-4.80968801,12.70390606,
144,6.59877968,-4.79929030,12.70267391,
145,6.54005511,-4.80649815,12.70221233,
146,6.48487750,-4.82340009,12.70189571,
