index,lon,lat,alt,
0,-73.91555151,45.45485805,-7.26142168,
1,-73.91555144,45.45485820,-7.26836300,
2,-73.91555144,45.45485820,-7.26836300,
3,-73.91555132,45.45485814,-7.26887465,
4,-73.91555121,45.45485821,-7.26564026,
5,-73.91555128,45.45485834,-7.26157284,
6,-73.91555120,45.45485840,-7.25793791,
7,-73.91555099,45.45485855,-7.25562477,
8,-73.91555074,45.45485854,-7.25433493,
9,-73.91555051,45.45485875,-7.25405312,
10,-73.91555020,45.45485904,-7.25717592,
11,-73.91554981,45.45485925,-7.26013613,
12,-73.91554914,45.45485959,-7.26011753,
13,-73.91554848,45.45485988,-7.25512409,
14,-73.91554805,45.45486024,-7.25509214,
15,-73.91554733,45.45486045,-7.25976849,
16,-73.91554673,45.45486094,-7.26769972,
17,-73.91554610,45.45486117,-7.27405357,
18,-73.91554560,45.45486143,-7.27794552,
19,-73.91554488,45.45486173,-7.27840471,
20,-73.91554408,45.45486207,-7.27854347,
21,-73.91554343,45.45486245,-7.28015614,
22,-73.91554257,45.45486265,-7.28242111,
23,-73.91554196,45.45486279,-7.28379679,
24,-73.91554123,45.45486301,-7.28426600,
25,-73.91554062,45.45486322,-7.28461170,
26,-73.91553982,45.45486348,-7.28601313,
27,-73.91553921,45.45486375,-7.28863335,
28,-73.91553856,45.45486400,-7.28946447,
29,-73.91553767,45.45486429,-7.29070187,
30,-73.91553699,45.45486456,-7.29233646,
31,-73.91553626,45.45486484,-7.29416180,
32,-73.91553550,45.45486513,-7.29545784,
33,-73.91553463,45.45486557,-7.29549885,
34,-73.91553358,45.45486582,-7.29545927,
35,-73.91553256,45.45486639,-7.29698181,
36,-73.91553137,45.45486681,-7.29693317,
37,-73.91553000,45.45486716,-7.29403353,
38,-73.91552848,45.45486768,-7.29202795,
39,-73.91552700,45.45486806,-7.28998852,
40,-73.91552572,45.45486858,-7.29035282,
41,-73.91552469,45.45486891,-7.29137754,
42,-73.91552375,45.45486917,-7.29113388,
43,-73.91552266,45.45486912,-7.29078293,
44,-73.91552185,45.45486932,-7.28925753,
45,-73.91552112,45.45486952,-7.28667212,
46,-73.91552039,45.45486976,-7.28395796,
47,-73.91551978,45.45486986,-7.28241062,
48,-73.91551924,45.45486994,-7.28039551,
49,-73.91551868,45.45487008,-7.27806711,
50,-73.91551836,45.45487004,-7.27819729,
51,-73.91551789,45.45487007,-7.28043509,
52,-73.91551754,45.45487010,-7.28156853,
53,-73.91551732,45.45486997,-7.27989626,
54,-73.91551706,45.45486987,-7.27814960,
55,-73.91551688,45.45486983,-7.27758789,
56,-73.91551653,45.45486966,-7.27818155,
57,-73.91551626,45.45486955,-7.27837944,
58,-73.91551588,45.45486952,-7.27665043,
59,-73.91551542,45.45486940,-7.27303123,
60,-73.91551494,45.45486934,-7.27027512,
61,-73.91551415,45.45486939,-7.26785135,
62,-73.91551331,45.45486921,-7.26588678,
63,-73.91551225,45.45486937,-7.26735973,
64,-73.91551118,45.45486961,-7.26881313,
65,-73.91550995,45.45486966,-7.26646805,
66,-73.91550886,45.45486982,-7.26432323,
67,-73.91550746,45.45487002,-7.26417637,
68,-73.91550646,45.45487030,-7.26663446,
69,-73.91550545,45.45487041,-7.26996469,
70,-73.91550473,45.45487061,-7.27398825,
71,-73.91550353,45.45487094,-7.27660799,
72,-73.91550229,45.45487116,-7.27473497,
73,-73.91550119,45.45487143,-7.26897860,
74,-73.91550012,45.45487173,-7.26684856,
75,-73.91549884,45.45487216,-7.26738262,
76,-73.91549768,45.45487252,-7.26916027,
77,-73.91549624,45.45487290,-7.27176046,
78,-73.91549498,45.45487336,-7.27419567,
79,-73.91549341,45.45487385,-7.27498865,
80,-73.91549194,45.45487426,-7.27450371,
81,-73.91549037,45.45487481,-7.27908516,
82,-73.91548911,45.45487524,-7.28412437,
83,-73.91548822,45.45487551,-7.28782034,
84,-73.91548707,45.45487589,-7.29112673,
85,-73.91548624,45.45487617,-7.29401159,
86,-73.91548547,45.45487639,-7.29699659,
87,-73.91548473,45.45487672,-7.29788780,
88,-73.91548388,45.45487716,-7.29785681,
89,-73.91548296,45.45487755,-7.29805517,
90,-73.91548198,45.45487790,-7.30011082,
91,-73.91548108,45.45487822,-7.30198669,
92,-73.91547995,45.45487855,-7.30531502,
93,-73.91547902,45.45487886,-7.30586290,
94,-73.91547788,45.45487909,-7.30627871,
95,-73.91547694,45.45487955,-7.30528927,
96,-73.91547562,45.45487976,-7.30086470,
97,-73.91547450,45.45488005,-7.29706192,
98,-73.91547315,45.45488037,-7.29424047,
99,-73.91547212,45.45488077,-7.29460669,
100,-73.91547122,45.45488087,-7.29623175,
101,-73.91547009,45.45488103,-7.29728794,
102,-73.91546910,45.45488130,-7.29794693,
103,-73.91546775,45.45488156,-7.29874754,
104,-73.91546649,45.45488190,-7.29939270,
105,-73.91546486,45.45488203,-7.29961777,
106,-73.91546361,45.45488226,-7.29963064,
107,-73.91546235,45.45488249,-7.29940224,
108,-73.91546107,45.45488274,-7.29373503,
109,-73.91545977,45.45488298,-7.28737354,
110,-73.91545844,45.45488327,-7.28060389,
111,-73.91545687,45.45488373,-7.26995230,
112,-73.91545540,45.45488398,-7.26283073,
113,-73.91545400,45.45488429,-7.25647831,
114,-73.91545279,45.45488474,-7.24932528,
115,-73.91545152,45.45488516,-7.24501657,
116,-73.91545028,45.45488548,-7.24620295,
117,-73.91544941,45.45488586,-7.25054932,
118,-73.91544832,45.45488614,-7.25623751,
119,-73.91544766,45.45488629,-7.26010513,
120,-73.91544723,45.45488643,-7.26293373,
121,-73.91544677,45.45488656,-7.26604319,
122,-73.91544643,45.45488671,-7.26821423,
123,-73.91544593,45.45488681,-7.26788473,
124,-73.91544557,45.45488702,-7.26423550,
125,-73.91544480,45.45488712,-7.25880337,
126,-73.91544418,45.45488730,-7.25569201,
127,-73.91544332,45.45488760,-7.25309324,
128,-73.91544256,45.45488784,-7.25126982,
129,-73.91544168,45.45488807,-7.25095129,
130,-73.91544096,45.45488836,-7.25235271,
131,-73.91543993,45.45488870,-7.25395203,
132,-73.91543902,45.45488901,-7.25439835,
133,-73.91543806,45.45488945,-7.25598812,
134,-73.91543725,45.45488957,-7.25793552,
135,-73.91543646,45.45488995,-7.25885010,
136,-73.91543563,45.45489012,-7.25627136,
137,-73.91543483,45.45489049,-7.25310802,
138,-73.91543414,45.45489069,-7.25182581,
139,-73.91543330,45.45489089,-7.25324154,
140,-73.91543229,45.45489102,-7.25871801,
141,-73.91543137,45.45489138,-7.26947737,
142,-73.91543022,45.45489164,-7.27640152,
143,-73.91542918,45.45489189,-7.27998686,
144,-73.91542800,45.45489212,-7.28303576,
145,-73.91542674,45.45489222,-7.28787947,
146,-73.91542530,45.45489250,-7.29226303,
147,-73.91542401,45.45489296,-7.29339790,
148,-73.91542238,45.45489311,-7.29274654,
149,-73.91542049,45.45489356,-7.29055405,
150,-73.91541885,45.45489389,-7.28683233,
151,-73.91541744,45.45489423,-7.28450727,
152,-73.91541575,45.45489455,-7.28215885,
153,-73.91541415,45.45489487,-7.27748251,
154,-73.91541245,45.45489524,-7.27122879,
155,-73.91541104,45.45489559,-7.26916313,
156,-73.91540934,45.45489617,-7.26813984,
157,-73.91540792,45.45489643,-7.27028370,
158,-73.91540650,45.45489691,-7.27340651,
159,-73.91540500,45.45489713,-7.27587223,
160,-73.91540330,45.45489757,-7.27711248,
161,-73.91540165,45.45489796,-7.27681208,
162,-73.91540008,45.45489834,-7.27591515,
163,-73.91539785,45.45489893,-7.27432871,
164,-73.91539606,45.45489927,-7.27218008,
165,-73.91539375,45.45489986,-7.27059698,
166,-73.91539170,45.45490028,-7.27171659,
